HVH_107_09_000019_000015	聖驾出人並殿之口派委司官及步軍收
HVH_107_09_000019_000016	加遇察有役肆行喊叶衝突排擠者
HVH_107_09_000019_000017	送該部一百其至答五十导常
HVH_107_09_000019_000018	朝會日犯者六十其至答三十係官俱交
HVH_107_09_000019_000019	部議夷若在内執事人並大臣侍街
HVH_107_09_000019_000020	役犯者交興該官大臣衙門治罪
HVH_107_09_000020_000001	奏對失序
HVH_107_09_000020_000002	凡在朝侍從官員特承顧問官高者先行
HVH_107_09_000020_000003	间奏早者以次進對若先後失序者各
HVH_107_09_000020_000004	罰俸一月
HVH_107_09_000020_000005	臣承门选對者越次先序亦猾失
HVH_107_09_000020_000006	儀也故一月此诸臣税序
HVH_107_09_000020_000007	顯問而言若事一人難最早
HVH_107_09_000020_000008	者亦當建對不在失序之限
HVH_107_09_000020_000009	皇越律例巷九
HVH_107_09_000020_000010	九
HVH_107_09_000020_000011	贵大序
HVH_107_09_000020_000012	Wf
HVH_107_09_000021_000001	朝見間難
HVH_107_09_000021_000002	九司儀官將應朝見官員人等託故留
HVH_107_09_000021_000003	難阻当不即引見者敬
HVH_107_09_000021_000004	大臣知而不問同罪不知者不坐
HVH_107_09_000021_000005	日應朝見則是即富引見者日記故
HVH_107_09_000021_000006	则本無故也施合引見官員人等假
HVH_107_09_000021_000007	事敬留難阻当有壁蔽之情
HVH_107_09_000021_000008	坐新大臣知其腎阻當之情而不
HVH_107_09_000021_000009	光平有免月之私故奥同罪照
HVH_107_09_000021_000010	例至死戒一等坐流不知者不坐
HVH_107_09_000021_000011	皇越律例
HVH_107_09_000021_000012	卷九
HVH_107_09_000021_000013	学
HVH_107_09_000021_000014	郭见冒集
HVH_107_09_000022_000001	上書陈言
HVH_107_09_000022_000002	凡图家政令得失軍民利病一切典利除
HVH_107_09_000022_000003	害之事业六部官面奏區爽及科道
HVH_107_09_000022_000004	督撫
HVH_107_09_000022_000005	加藏
HVH_107_09_000022_000006	营镇官
HVH_107_09_000022_000007	各陳所見言無隱若
