HVH_107_12_000009_000021	益大配解御物
HVH_107_12_000009_000022	至祭所盗之為大不敬故不前监守
HVH_107_12_000009_000023	常人不分首為從同备之人昔
HVH_107_12_000009_000024	多寡者謂是大中之糊與导常舍
HVH_107_12_000009_000025	你守加监守界一等係常人
HVH_107_12_000009_000026	则加常人益幕一等益官加三
HVH_107_12_000009_000027	字盈年鉴至十七用五袋常人
HVH_107_12_000009_000028	贼至四十雨昔是杖一百徒三年
HVH_107_12_000009_000029	守盗至二十两常人至四十
HVH_107_12_000009_000030	实再加一等期技一
HVH_107_12_000009_000031	五
HVH_107_12_000009_000032	百律
HVH_107_12_000009_000033	里关你做
HVH_107_12_000009_000034	此推之
HVH_107_12_000010_000001	盗制書
HVH_107_12_000010_000002	注彼我罪下有监
HVH_107_12_000010_000003	凡盗制書者
HVH_107_12_000010_000004	行者以官文書翰
HVH_107_12_000010_000005	分
HVH_107_12_000010_000006	宇前下不
HVH_107_12_000010_000007	註文書官物
HVH_107_12_000010_000008	刺鑫官找字
HVH_107_12_000010_000009	则关不待時矣
HVH_107_12_000010_000010	字若有所规避者
HVH_107_12_000010_000011	各衙門官文書者皆杖一百刺
HVH_107_12_000010_000012	首
HVH_107_12_000010_000013	或侵欺钱或
HVH_107_12_000010_000014	制書所以部冷天下者出自内府所
HVH_107_12_000010_000015	至重故查之者皆断若盗内外
HVH_107_12_000010_000016	于事有所规避者各從其重者論罪
HVH_107_12_000010_000017	c
HVH_107_12_000010_000018	罪重以盗斗之规避罪重以规避
HVH_107_12_000010_000019	若干保軍接如申報軍
HVH_107_12_000010_000020	軍言謂軍馬征討預接之錢
HVH_107_12_000010_000021	單需等重大事務者则皆教幾
HVH_107_12_000010_000022	文書也若止是导常征收解支
HVH_107_12_000010_000023	文钱程文書仍以官友書論
HVH_107_12_000010_000024	皇越律刊
HVH_107_12_000010_000025	-
HVH_107_12_000010_000026	卷十
HVH_107_12_000010_000027	州律贼盗上九
HVH_107_12_000010_000028	查甜書
HVH_107_12_000011_000001	盗印信
HVH_107_12_000011_000002	输信益制
HVH_107_12_000011_000003	凡盗各衙门印信者
HVH_107_12_000011_000004	首徒
HVH_107_12_000011_000005	不分
HVH_107_12_000011_000006	监候又傅
HVH_107_12_000011_000007	合题名属面
HVH_107_12_000011_000008	分高两期後是立
HVH_107_12_000011_000009	购防爽印信同
HVH_107_12_000011_000010	群注本律是导指弃
HVH_107_12_000011_000011	决是侯耳
HVH_107_12_000011_000012	一百刺宇
HVH_107_12_000011_000013	印信者言印信奔同
HVH_107_12_000011_000014	印信请一品至九品交武衙门方
HVH_107_12_000011_000015	印
HVH_107_12_000011_000016	财海者必是人
HVH_107_12_000011_000017	所以傳信于回方故日印
HVH_107_12_000011_000018	国
HVH_107_12_000011_000019	政最其法若本
HVH_107_12_000011_000020	盗财物读及印信
HVH_107_12_000011_000021	富系翰
HVH_107_12_000011_000022	或刻分防
HVH_107_12_000011_000023	维年微亦有掌同為
HVH_107_12_000011_000024	龄不當慧能如此俟再考
HVH_107_12_000011_000025	皇越律例
HVH_107_12_000011_000026	签印信
HVH_107_12_000012_000001	盗丙府财物
HVH_107_12_000012_000002	若财物未造库止依益
HVH_107_12_000012_000003	输多寡不分首從
HVH_107_12_000012_000004	官物内府字要部
HVH_107_12_000012_000005	既子之摩拥内府在望城禁地之中
HVH_107_12_000012_000006	有死罪之名無死罪之實以其
HVH_107_12_000012_000007	可故准徒五年以之
HVH_107_12_000012_000008	物論仍分别当守常人計赋坐罪
HVH_107_12_000012_000009	未库但答之人
HVH_107_12_000012_000010	者御依盈守盗险
HVH_107_12_000012_000011	例
HVH_107_12_000012_000012	一凡盗
HVH_107_12_000012_000013	内府财物
HVH_107_12_000012_000014	皇越律间上
HVH_107_12_000012_000015	武闪官
HVH_107_12_000012_000016	御寳
HVH_107_12_000012_000017	乘與服御物者俱作實犯死罪其盈守常人
HVH_107_12_000012_000018	益含库銀雨錢帛等物俱照盗倉庫錢
HVH_107_12_000012_000019	各本例定概
HVH_107_12_000012_000020	*
HVH_107_12_000013_000001	盗城门鑰
HVH_107_12_000013_000002	驻此但言安来
HVH_107_12_000013_000003	及用也若用以鸟
HVH_107_12_000013_000004	凡盗京城门鑰皆
HVH_107_12_000013_000005	首促
HVH_107_12_000013_000006	不牙
HVH_107_12_000013_000007	杖一百流三千里
HVH_107_12_000013_000008	自各便重的
HVH_107_12_000013_000009	府州縣城國門皆杖一百徒
HVH_107_12_000013_000010	化
HVH_107_12_000013_000011	三年盗倉庫門等鑰皆杖一百
