HVH_107_17_000010_000015	市悬则不公故必察其以所衡之
HVH_107_17_000010_000016	論旗禄人各减有称人一等諾单有
HVH_107_17_000010_000017	枉新出入之罪重雕罪仍從重输
HVH_107_17_000010_000018	皇越律创
HVH_107_17_000010_000019	福
HVH_107_17_000010_000020	卷十七刑律
HVH_107_17_000010_000021	九
HVH_107_17_000010_000022	事徒受财
HVH_107_17_000010_000023	官使照行止有断例取役為民
HVH_107_17_000010_000024	不追李酷物以受在事後而原之也
HVH_107_17_000010_000025	出錢過幾人止問不
HVH_107_17_000010_000026	應從重者在於
HVH_107_17_000010_000027	1
HVH_107_17_000010_000028	算說摩得
HVH_107_17_000010_000029	以未减卷
HVH_107_17_000010_000030	1
HVH_107_17_000011_000001	官吏聽許财物
HVH_107_17_000011_000002	於事後受财律
HVH_107_17_000011_000003	听未接受故别
HVH_107_17_000011_000004	凡官吏聽許财物雖未接受事若枉者准
HVH_107_17_000011_000005	枉法論事不枉者准不枉法論各减
HVH_107_17_000011_000006	政
HVH_107_17_000011_000007	一等所枉重者各從重論
HVH_107_17_000011_000008	有数目者
HVH_107_17_000011_000009	自其有
HVH_107_17_000011_000010	方坐几律稱谁者至死藏一等難
HVH_107_17_000011_000011	数罪止发一百流三千里此條
HVH_107_17_000011_000012	無人二字故能日
HVH_107_17_000011_000013	其徐强在官之人不
HVH_107_17_000011_000014	北止日官
HVH_107_17_000011_000015	理汉减一等杖一百使三年方合律此
HVH_107_17_000011_000016	正所謂犯罪得累或也此明言官使
HVH_107_17_000011_000017	则其价在馆
HVH_107_17_000011_000018	用收律
HVH_107_17_000011_000019	之人不用此律
HVH_107_17_000011_000020	前枉不枉法照是因事而已受者
HVH_107_17_000011_000021	然光官更贪之额必有聽許而未
HVH_107_17_000011_000022	受者官使有推之事规事人
HVH_107_17_000011_000023	黄心其心贫污即是罪案計其所
HVH_107_17_000011_000024	皇越律例卷十七制律
HVH_107_17_000011_000025	十
HVH_107_17_000011_000026	官吏訴财物
HVH_107_17_000011_000027	許之数論其應得之罪事有所者
HVH_107_17_000011_000028	准枉法論事無所枉者谁不枉論
HVH_107_17_000011_000029	各球一等原其未得也無禄人又
HVH_107_17_000011_000030	有人一等若满数至死者有人
HVH_107_17_000011_000031	通二等無禄人通减三等其枉法
HVH_107_17_000011_000032	者既有所枉之法有枉法應得之
HVH_107_17_000011_000033	罪將所枉與聽前二罪准其轻重各
HVH_107_17_000011_000034	從理者止是静味有财物
HVH_107_17_000011_000035	目何以計不得概握此律也消数
HVH_107_17_000011_000036	至死戒等者内甚明维罪至死
HVH_107_17_000011_000037	截一等乃定之通倒本准罪有
HVH_107_17_000011_000038	减等者即减一等上累减亦一定
HVH_107_17_000011_000039	之通倒但未至死罪
HVH_107_17_000011_000040	则止照本律論成耳
HVH_107_17_000011_000041	條例
HVH_107_17_000011_000042	聽許财物若甫經口許無確不得
HVH_107_17_000011_000043	概行議追如所許财物封貯他處或
HVH_107_17_000012_000001	立議单交券或交與說事之人應許
HVH_107_17_000012_000002	财之人追取入官若本犯有應得之罪
HVH_107_17_000012_000003	仍照律科斷如所犯本輕或本無但
HVH_107_17_000012_000004	許財管求者止問不應重律其許過者
HVH_107_17_000012_000005	千實交若干者應分别受未受数目
HVH_107_17_000012_000006	計並所犯情罪從重科断已交之
HVH_107_17_000012_000007	在受财人名下著追未交之财仍許
HVH_107_17_000012_000008	财人名下著追
HVH_107_17_000012_000009	皇越律创
HVH_107_17_000012_000010	卷十七刑骨
HVH_107_17_000012_000011	土
HVH_107_17_000012_000012	官吏許财物
HVH_107_17_000013_000001	有事以財請求
HVH_107_17_000013_000002	所與财坐贼論若有避難就所枉
HVH_107_17_000013_000003	去
HVH_107_17_000013_000004	之
HVH_107_17_000013_000005	财
HVH_107_17_000013_000006	其
HVH_107_17_000013_000007	其官吏刁
HVH_107_17_000013_000008	就易用避難当之重罪就易受之性
HVH_107_17_000013_000009	也若他律避難則指難解幾根捕益
HVH_107_17_000013_000010	威皆
HVH_107_17_000013_000011	是
HVH_107_17_000013_000012	以上諸條皆言受则人之弄此
HVH_107_17_000013_000013	言财人之罪光几諸色人等本身
HVH_107_17_000013_000014	有事面财行求於官更马面
HVH_107_17_000013_000015	算至五百两罪止放一百类三年
HVH_107_17_000013_000016	所行之事有规避其遷就其
HVH_107_17_000013_000017	所易而所枉之罪重於行来之美者
HVH_107_17_000013_000018	越律侧一卷七律
HVH_107_17_000013_000019	H
HVH_107_17_000013_000020	有事以财莆承
HVH_107_17_000013_000021	從重着其赃入官所謂彼此之
HVH_107_17_000013_000022	幾人惧不坐其赃国主所謂不
HVH_107_17_000013_000023	易二字所色者质不專在罪名上
HVH_107_17_000013_000024	财行求即得坐之罪避難就
HVH_107_17_000013_000025	應從傷人論者得五百两杖一百
HVH_107_17_000013_000026	徒三年之罪则行求罪重仍從行
HVH_107_17_000013_000027	求諭内所
HVH_107_17_000013_000028	難薛錢
HVH_107_17_000013_000029	根辨捕盗威皆可類谁
HVH_107_17_000014_000001	條例
HVH_107_17_000014_000002	一凡有以財行求及說事過錢者審實背
HVH_107_17_000014_000003	計所與之赋與受财人同科仍分有
HVH_107_17_000014_000004	無禄有祿人概不减等無禄人各减一
HVH_107_17_000014_000005	等其行求說事過錢之人如有首從者
HVH_107_17_000014_000006	為首照例科斷爲從有禄人聽减一等
HVH_107_17_000014_000007	無禄人聽减二等如抑勒詐索取財者
HVH_107_17_000014_000008	與财人及說事過錢人俱不坐至於别
HVH_107_17_000014_000009	頂魄逸不係行求仍照律提罪
HVH_107_17_000014_000010	一凡受贿頂儿之案除案外之人得受正
HVH_107_17_000014_000011	兒賄路挺身到宫頂認在外营鎮業已
HVH_107_17_000014_000012	皇越律侧卷十七
HVH_107_17_000014_000013	利律
HVH_107_17_000014_000014	三
HVH_107_17_000014_000015	有事以慧请求
HVH_107_17_000014_000016	招解上司在京内现業件业程法司
HVH_107_17_000014_000017	會審已属成招定罪幾改正兒漏網者
HVH_107_17_000014_000018	仍照頂兒本例分别問擬外如尚未成
HVH_107_17_000014_000019	招罪未議定旋即破案者行賄之犯
HVH_107_17_000014_000020	仍照原犯罪各問擬受賄頂認者計
HVH_107_17_000014_000021	以枉法論至顶经招解之业如係
HVH_107_17_000014_000022	同業之犯代認重傷致脱本犯罪名者
HVH_107_17_000014_000023	减正犯罪一等定提未招解者仍照原
HVH_107_17_000014_000024	犯本罪科断受赋重者以枉法從其重
HVH_107_17_000014_000025	者論
HVH_107_17_000015_000001	在官求索借贷人财物
HVH_107_17_000015_000002	凡监臨官吏恢势及豪强之人求索借贷
HVH_107_17_000015_000003	强者准枉去論财物給主
HVH_107_17_000015_000004	有脉人一等
HVH_107_17_000015_000005	無人各戒
HVH_107_17_000015_000006	若將自物货散奥部民及低價
HVH_107_17_000015_000007	物多取價利者血計除利准不法論
HVH_107_17_000015_000008	强者准枉法論物货價錢血入官給主
HVH_107_17_000015_000009	寶物期物人常面原得假钱给主買物
HVH_107_17_000015_000010	则物主面所用之價入常此下四
HVH_107_17_000015_000011	而豪强亦包其中
HVH_107_17_000015_000012	不即支價及借承服玩之属各經
HVH_107_17_000015_000013	月不回者鱼坐臟論
HVH_107_17_000015_000014	违物0若私借
HVH_107_17_000015_000015	四主
HVH_107_17_000015_000016	皇越律侧
HVH_107_17_000015_000017	卷十七刑律
HVH_107_17_000015_000018	十
HVH_107_17_000015_000019	在官求索借贷人财物
HVH_107_17_000015_000020	用所部内馬牛及車船店舍之類各驗
HVH_107_17_000015_000021	日計雇賃錢亦坐論追錢給主
HVH_107_17_000015_000022	计其
HVH_107_17_000015_000023	纪特
HVH_107_17_000015_000024	工直多
HVH_107_17_000015_000025	不得通其本價
HVH_107_17_000015_000026	0若接受所部内亿选
HVH_107_17_000015_000027	土宜禮物受者答四十與者一等者
HVH_107_17_000015_000028	0
HVH_107_17_000015_000029	因事而受者計贓以不枉法論其经
HVH_107_17_000015_000030	過去處供能飲食及親故餛选者不在
HVH_107_17_000015_000031	此限其出使人於所差去處求索借
HVH_107_17_000015_000032	贷賣買多取價利及受佣选者與
HVH_107_17_000015_000033	锦官吏罪同若去官而受幕部内财
HVH_107_17_000015_000034	物及求索借貸之属各减在官时三等
HVH_107_17_000015_000035	前官更受财是有事人行来者坐贱
HVH_107_17_000015_000036	玫弄是和同而典者事後受财是人
HVH_107_17_000016_000001	所锁逸者省非官使要挟而取也器
HVH_107_17_000016_000002	充窄吏及豪强人贪账之類必有求
HVH_107_17_000016_000003	求借货等事凡见任见役之院官
HVH_107_17_000016_000004	使挟其之势及豪恶碰之人
HVH_107_17_000016_000005	無端求索奥借贷所内人财物者
HVH_107_17_000016_000006	让杖百流三千里無人各磁有
HVH_107_17_000016_000007	入罪一等役日者前非益者
HVH_107_17_000016_000008	挨然非亦非和奥故所索
HVH_107_17_000016_000009	官民却的是指官吏而蒙强
HVH_107_17_000016_000010	自犯物散费與部民以賤作貴面
HVH_107_17_000016_000011	多取價及低惯员物以贵作面
HVH_107_17_000016_000012	取利图此啊项而多取價利者除所
HVH_107_17_000016_000013	之数之除計條数目准
HVH_107_17_000016_000014	散所買之物您得價处其增少
HVH_107_17_000016_000015	主注内分别甚明若贯所御内之
HVH_107_17_000016_000016	物不自時支给價位及借所部内人
HVH_107_17_000016_000017	慈律侧卷十七年
HVH_107_17_000016_000018	十五
HVH_107_17_000016_000019	在官求货人财物
HVH_107_17_000016_000020	派原景玩之属各经一月不间者
HVH_107_17_000016_000021	計所買所借之物價坐論各者
HVH_107_17_000016_000022	承買借两項而言通者謂两頂同
HVH_107_17_000016_000023	也買借之物各追回注上簡低價員
HVH_107_17_000016_000024	物则损族民不給即有入
HVH_107_17_000016_000025	應拾之星錢亦坐職論追给主
HVH_107_17_000016_000026	各字承所借諸物面言亦字则承上
HVH_107_17_000016_000027	簡借物不面信也日部共犯财
HVH_107_17_000016_000028	幾不得過牛馬等之價不得過
HVH_107_17_000016_000029	新御内人馈逸土宜礼物者不
HVH_107_17_000016_000030	寡四十奥者戒
HVH_107_17_000016_000031	为交际之常而监陷部内则非應
HVH_107_17_000016_000032	除之
HVH_107_17_000016_000033	人也然土宜非金銀之儿饋
HVH_107_17_000017_000001	在非
HVH_107_17_000017_000002	官乃行馈送面受之者宜之
HVH_107_17_000017_000003	行求之故止得管群者因有事
HVH_107_17_000017_000004	不在此限飲食非同瞪物税故不
HVH_107_17_000017_000005	计
HVH_107_17_000017_000006	者也未又推及去宫者若去官
HVH_107_17_000017_000007	和强求索借售買多取利及
HVH_107_17_000017_000008	条無受却
HVH_107_17_000017_000009	内助物之法
HVH_107_17_000017_000010	收何從城疑即指馈建
HVH_107_17_000017_000011	土宜禮物
HVH_107_17_000017_000012	皇越律侧
HVH_107_17_000017_000013	一卷十七周律
HVH_107_17_000017_000014	言也考
HVH_107_17_000017_000015	十
HVH_107_17_000017_000016	在官事崇借货人财物
HVH_107_17_000017_000017	條例
HVH_107_17_000017_000018	一文武職官索取土官外國等财
HVH_107_17_000017_000019	他該徒三年以上者俱發軍
HVH_107_17_000017_000020	一長隨求索嚇詐得財舞奖者照役
HVH_107_17_000017_000021	例治罪並照盗创初犯以犯二
HVH_107_17_000017_000022	字刺臂再犯刺面其有索詐婪托故
HVH_107_17_000017_000023	先期預進及本官被参後聞風逵者
HVH_107_17_000017_000024	拿褒之日照到官後脱逃例各加二等
HVH_107_17_000017_000025	治罪仍追原其各衙門現任大小官
HVH_107_17_000017_000026	员和有收用犯案刺字長随者交部議
HVH_107_17_000017_000027	處
HVH_107_17_000018_000001	家人求索
HVH_107_17_000018_000002	注家人所犯重在
HVH_107_17_000018_000003	扶努上无随在任前
HVH_107_17_000018_000004	凡监官吏家人
HVH_107_17_000018_000005	兄爷子侄
HVH_107_17_000018_000006	奴皆是
HVH_107_17_000018_000007	所部内取
HVH_107_17_000018_000008	家人不必抱父兄
HVH_107_17_000018_000009	之大皆可以言
HVH_107_17_000018_000010	受求索借贷财物
HVH_107_17_000018_000011	依不
HVH_107_17_000018_000012	任法
HVH_107_17_000018_000013	及役使部民
HVH_107_17_000018_000014	子弟也若吏则不同
HVH_107_17_000018_000015	必是米人方坐
HVH_107_17_000018_000016	若買多取價利之類各减本官
HVH_107_17_000018_000017	0
HVH_107_17_000018_000018	S
HVH_107_17_000018_000019	定不若本官知情與同罪
HVH_107_17_000018_000020	官更受财律
HVH_107_17_000018_000021	不知者不坐
