HVH_105_000015_000017	福隆縣今府属永清关
HVH_105_000015_000018	4
HVH_105_000015_000019	新平縣今為新平府属藩安镇
HVH_105_000015_000020	府在平顺之南老明王復遣将伐高取同泥肥饶之地
HVH_105_000015_000021	置爲是府
HVH_105_000015_000022	立续邊藩營斤地千里户四萬其後日就繁饭
HVH_105_000015_000023	财賦之盛更優於廣南云
HVH_105_000015_000024	按同泥地自并澤柴根大小各海門入全是林幾
HVH_105_000015_000025	餘里明王高得之广南奠盛廣義歸仁有物
HVH_105_000015_000026	徙居此伐剪開爲平坦水土肥疾任民自
HVH_105_000016_000001	占树圆結屋又收源頭者人男女之自配產
HVH_105_000016_000002	成人加業以是我栗甚多各田有富人或四五十
HVH_105_000016_000003	家或二三十家每家個奴或至五六十人牛羊或至二
HVH_105_000016_000004	百餘耕植獲级不服歲十一月十二月常春成米
HVH_105_000016_000005	貢取錢為臘用正月無餘春作平時入富春以
HVH_105_000016_000006	易北紗顺有布素其地多淡水
HVH_105_000016_000007	道如不可步行富人有载大船以通諸港自海門
HVH_105_000016_000008	至源頭行五六七日盡是源野極目無際其平如此
HVH_105_000016_000009	地最宜梁皆白軟粒有名技粒小而長如
HVH_105_000016_000010	老地奥志
HVH_105_000016_000011	医答十
HVH_105_000016_000012	便最香有名茹東粒大而白有名蒙西圆白得饭多
HVH_105_000016_000013	而糯粮有名粒大而長自香軟有各粒長
HVH_105_000016_000014	大软腻有各精炭粒小軟腻有各桶赤粒大米
HVH_105_000016_000015	而香軟類者五月六七月下植十月收至正月
HVH_105_000016_000016	方畢二月作粟其地多椒語云粟一榔二民常不收
HVH_105_000016_000017	令自乾者摘核下售批客
HVH_105_000016_000018	定遠州今爲定祥鎭一府三縣
HVH_105_000016_000019	此历古柴棍之地龍德初孝明王遣将伐高绵取柴
HVH_105_000016_000020	乙立定遠州龍湖管景興初孝武王復遣
HVH_105_000017_000001	貞與善政侯再伐高民三年招安城隆
HVH_105_000017_000002	绵王源走羅壁獻其尋敦撤二府居貞受之分兵
HVH_105_000017_000003	按據分畫封疆使降眾集居定遠州界優爲增廣
HVH_105_000017_000004	通和邊和
HVH_105_000017_000005	河僊鎮二道二縣在嘉定府之南興暹羅国接壤古屬荒
HVH_105_000017_000006	孝哲王時有北國人鄭在者來此墾有部眾臣
HVH_105_000017_000007	南朝哲王授以總兵赋造永佑丙辰其子天锡封琼
HVH_105_000017_000008	德侯天锡有学間招雅書作河一
HVH_105_000017_000009	富景致才黄展一方稱重其地日增标生民安居
HVH_105_000017_000010	越地奥志
HVH_105_000017_000011	谷
