HVH_107_03_000010_000031	力不罪足者開具本犯情罪监
HVH_107_03_000010_000032	追年月久近贼数多寡每於歲底彙题
HVH_107_03_000010_000033	請
HVH_107_03_000010_000034	奪若不及前数监追一年之上勘實力不
HVH_107_03_000010_000035	能足者俱免迫各照凝發落
HVH_107_03_000010_000036	一断付死者之财産遇
HVH_107_03_000011_000001	S6
HVH_107_03_000011_000002	赦不得免追
HVH_107_03_000011_000003	一虧空贪臟官吏一應追赔銀雨該管
HVH_107_03_000011_000004	委情查官産之员會同地方官令本犯
HVH_107_03_000011_000005	家属將田房什物呈明時價當堂公同
HVH_107_03_000011_000006	確估詳登冉記申報上司仍令本犯家
HVH_107_03_000011_000007	屬服同售賣足项如有侵魚需索等弊
HVH_107_03_000011_000008	許該犯家屬并買主首告將侵漁需宗
HVH_107_03_000011_000009	之官吏照侵盗钱及受枉法律治
HVH_107_03_000011_000010	罪
HVH_107_03_000011_000011	一凡追贼人犯除侵贪官吏仍照例限
HVH_107_03_000011_000012	追外其搶奪盗之脑著地方官定
HVH_107_03_000011_000013	皇越律创卷三
HVH_107_03_000011_000014	名例下
HVH_107_03_000011_000015	十
HVH_107_03_000011_000016	格设验物
HVH_107_03_000011_000017	案之日嚴行比追如果力不能足即将
HVH_107_03_000011_000018	本犯治罪随時取結详報分别题谷龄
HVH_107_03_000011_000019	免
HVH_107_03_000011_000020	一凡命案内减等落人犯應追埋銀
HVH_107_03_000011_000021	两勒限三個月追有物產可抵者亦
HVH_107_03_000011_000022	著於限内變交如審係十分貧難者量
HVH_107_03_000011_000023	追一半給付屍親收領若限满勘實力
HVH_107_03_000011_000024	不能足將該犯即行配一面取具地
HVH_107_03_000011_000025	降親族耳結該地方官詳請管上司
HVH_107_03_000011_000026	核實各請豁免如有隐匿發覺者地降
HVH_107_03_000011_000027	人等均照不應重律治罪地方官照倒
HVH_107_03_000012_000001	議處
HVH_107_03_000012_000002	一録事獲罪應行查抄資産而兄弟未經
HVH_107_03_000012_000003	分産者将所有産業查明按其兄弟人
HVH_107_03_000012_000004	数分股計等如家童值银十萬兄弟五
HVH_107_03_000012_000005	人每股應得二萬紙將本犯名下應得
HVH_107_03_000012_000006	一股入官其餘兄弟名下應得者概行
HVH_107_03_000012_000007	给予
HVH_107_03_000012_000008	皇越律码卷二名假律下
HVH_107_03_000012_000009	士
HVH_107_03_000012_000010	静没服物
HVH_107_03_000013_000001	犯罪自首
HVH_107_03_000013_000002	凡犯罪未而自首者免其罪
HVH_107_03_000013_000003	其罪難免
HVH_107_03_000013_000004	告有者
HVH_107_03_000013_000005	謂知枉法不枉法賊徵官
