HVH_107_02_000010_000037	也議定奏聞其罪有至死者惟云依
HVH_107_02_000010_000038	律合死不敢正言絞斬取自上裁前
HVH_107_02_000010_000039	後三奏使重如此所以篤親親󰦛故
HVH_107_02_000010_000040	舊尚功尊賢勸能恤勤敬大臣而崇
HVH_107_02_000010_000041	賔禮也若有犯十惡者則奏請提
HVH_107_02_000010_000042	問依律擬断不用此
HVH_107_02_000010_000043	取旨請擬奏裁之律
HVH_107_02_000011_000001	應議者之父祖有犯
HVH_107_02_000011_000002	凡應八議者之祖父母父母妻及子孫犯
HVH_107_02_000011_000003	罪實封奏聞取㫖不許擅自勾問若奉
HVH_107_02_000011_000004	旨推問者開具所犯及應議之狀先奏
HVH_107_02_000011_000005	請議議定奏間取自上裁若皇親國
HVH_107_02_000011_000006	戚及功臣
HVH_107_02_000011_000007	與功爲最重
HVH_107_02_000011_000008	八議之中親
HVH_107_02_000011_000009	之外祖父母伯
HVH_107_02_000011_000010	叔父母姑兄弟姊妹女婿兄弟之子若
HVH_107_02_000011_000011	四品五品
HVH_107_02_000011_000012	口武品
HVH_107_02_000011_000013	武官之父母妻
HVH_107_02_000011_000014	女未受石
HVH_107_02_000011_000015	女封者
HVH_107_02_000011_000016	有及應合
HVH_107_02_000011_000017	襲廕子孫犯罪從有司依律追問議擬
HVH_107_02_000011_000018	奏聞取自上栽
HVH_107_02_000011_000019	亦不許擅次猶有体恤
HVH_107_02_000011_000020	其始雖不必忝提其終
HVH_107_02_000011_000021	焉
HVH_107_02_000011_000022	之意其犯十惡反逆縁坐及奸盗殺
HVH_107_02_000011_000023	皇越律例
HVH_107_02_000011_000024	卷二名例锋上
HVH_107_02_000011_000025	惡讓者之父祖有犯
HVH_107_02_000011_000026	人受財枉法者
HVH_107_02_000011_000027	斷决
HVH_107_02_000011_000028	百許徑乙
HVH_107_02_000011_000029	不用此在
HVH_107_02_000011_000030	奏裁之人
HVH_107_02_000011_000031	取㫖及伊
HVH_107_02_000011_000032	律
HVH_107_02_000011_000033	其餘親屬奴僕管莊佃甲倚勢虐害
HVH_107_02_000011_000034	良民陵犯官府者
HVH_107_02_000011_000035	司徑自提問
HVH_107_02_000011_000036	日事發聽所在官
HVH_107_02_000011_000037	吕加常
HVH_107_02_000011_000038	人罪一等
HVH_107_02_000011_000039	得概行加等
HVH_107_02_000011_000040	丁非倚勢而犯不
HVH_107_02_000011_000041	止坐犯人必
HVH_107_02_000011_000042	人必
HVH_107_02_000011_000043	人杯
HVH_107_02_000011_000044	追究其
HVH_107_02_000011_000045	本主
HVH_107_02_000011_000046	不在上請之律若各衙門追
HVH_107_02_000011_000047	問之際占怯不發者並聽當該官司實
HVH_107_02_000011_000048	封奏聞區處
HVH_107_02_000011_000049	差人勾間其皇親國戚及
HVH_107_02_000011_000050	謂有人於本管衙門告發
HVH_107_02_000011_000051	功臣占不出官者並聽
HVH_107_02_000011_000052	當該官司實封奏間區處
HVH_107_02_000011_000053	應議之人又得推及其所親上及于
HVH_107_02_000011_000054	祖父母父母内及于妻下及于子孫
HVH_107_02_000011_000055	皆與應議之本身同体恤之恩至矣
HVH_107_02_000011_000056	八議之中親與功爲㔫重則待之
HVH_107_02_000011_000057	亡厚故又得及其外父母等親
HVH_107_02_000011_000058	若四品五品雖不在議貴之例亦得
HVH_107_02_000012_000001	推及其父母妻及合應襲廕之子孫
HVH_107_02_000012_000002	凡犯罪者不必黍提即從有司追問
HVH_107_02_000012_000003	所以正法也仍擬議奏聞取自上裁
HVH_107_02_000012_000004	不許擅决所以廣思也其犯十惡
HVH_107_02_000012_000005	等項承上雨節而言以其情罪深重
HVH_107_02_000012_000006	應議者之祖父母等許逕自恭提勳
HVH_107_02_000012_000007	成之外祖父母等許逕其自决斷不一
HVH_107_02_000012_000008	用取旨奏裁之律其餘親屬奴僕
HVH_107_02_000012_000009	管莊佃甲若犯倚勢而虐害良民陵
HVH_107_02_000012_000010	犯官府則官司逕自提問于所犯本
HVH_107_02_000012_000011	罪上比常人加一等科斷所以杜驕
HVH_107_02_000012_000012	從也止坐本犯之罪本主或有意縱
HVH_107_02_000012_000013	容或不知約束皆不究問所以恤勲
HVH_107_02_000012_000014	戚也因不究及本主故不在上請之
HVH_107_02_000012_000015	律占庇之謂犯罪雖在親篇
HVH_107_02_000012_000016	等而追問之際占恡不發則勳感之
HVH_107_02_000012_000017	過也故將占怯之情
HVH_107_02_000012_000018	貴封奏聞以請區處
HVH_107_02_000012_000019	條例
HVH_107_02_000012_000020	律表文祖陣亡得以
HVH_107_02_000012_000021	免子孫子孫陳亡
HVH_107_02_000012_000022	一凡犯該死罪如有祖父及子孫陣亡者
HVH_107_02_000012_000023	皇越律例
HVH_107_02_000012_000024	卷一名例碑上
HVH_107_02_000012_000025	土
HVH_107_02_000012_000026	應議者之父祖有犯
HVH_107_02_000012_000027	亦得優免父祖
HVH_107_02_000012_000028	於聲明優免一人一次後俱不准再行
HVH_107_02_000012_000029	聲請
HVH_107_02_000013_000001	職官有犯
HVH_107_02_000013_000002	凡在京在外大小官員有犯公私罪名所
HVH_107_02_000013_000003	司開具事由實封奏聞請旨不許擅自
HVH_107_02_000013_000004	勾問
HVH_107_02_000013_000005	事輕傳問不在此限
HVH_107_02_000013_000006	指所犯事重者言若
HVH_107_02_000013_000007	若許准推問
HVH_107_02_000013_000008	依律議擬奏聞區處仍候覆准方許判
HVH_107_02_000013_000009	决若所屬官被本管上司非禮陵虐
HVH_107_02_000013_000010	亦聽開具虐實
HVH_107_02_000013_000011	實跡實封徑自奏陳井
HVH_107_02_000013_000012	東其被
HVH_107_02_000013_000013	泰後
HVH_107_02_000013_000014	具陵
HVH_107_02_000013_000015	將原上司别欵首
HVH_107_02_000013_000016	告者不准行仍治罪
HVH_107_02_000013_000017	在京在外大小官員有犯一應公私
HVH_107_02_000013_000018	罪名者所司雖應究問不許擅專必
HVH_107_02_000013_000019	先開具事由奏開請旨若奉旨許准
HVH_107_02_000013_000020	推問而後究審依律議罪名奏請區
HVH_107_02_000013_000021	處仍侯部議覆准照議判决若所
HVH_107_02_000013_000022	屬官被本管上司以非理之事故行
HVH_107_02_000013_000023	皇越律例一卷二
HVH_107_02_000013_000024	二名例律上
HVH_107_02_000013_000025	十三
HVH_107_02_000013_000026	職官有犯
HVH_107_02_000013_000027	陵辱虐害亦聽開具陵虐實跡不必
HVH_107_02_000013_000028	經由合于上司逕自奏陳于朝但不
HVH_107_02_000013_000029	許扱引別
HVH_107_02_000013_000030	頂事疑
HVH_107_02_000013_000031	條例
HVH_107_02_000013_000032	一文職自知府以上武職自副衛尉以上
HVH_107_02_000013_000033	有犯公私罪名應審訊者仍照例題烝
HVH_107_02_000013_000034	奉到
HVH_107_02_000013_000035	諭旨再行提訊其餘文武各員於題僉之日即
HVH_107_02_000013_000036	將應質人犯俱齊審究
HVH_107_02_000014_000001	文武官犯公罪
