HVH_106_000014_000015	才之彦而沌於送外者且不無尧野之遗
HVH_106_000014_000016	辨材
HVH_106_000014_000017	以國家之休戚係守用人之當否則贤愚忠辨白
HVH_106_000014_000018	明未嘗不欲用舍之各当也然用心邪正寻求於草
HVH_106_000014_000019	之中则虚易清無曰辨干隋賢之出身
HVH_106_000014_000020	踪徒信文崇之未則真相何以分食清殊
HVH_106_000015_000001	人才
HVH_106_000015_000002	四西参外而标街排難解纷者有矣处功立業者有矣
HVH_106_000015_000003	世未嘗無才也悲除必待营求而枢样才流更
HVH_106_000015_000004	之松门之桃李進退寻於權伴而參茶終沮之
HVH_106_000015_000005	捷徑之苞
HVH_106_000015_000006	用人
HVH_106_000015_000007	以為治莫先用人則百司分掌庶府置官有政績者增
HVH_106_000015_000008	秩有勇者典兵未不用兵也然注抄徒构志资格
HVH_106_000015_000009	歷代政要半
HVH_106_000015_000010	人才用人住送
HVH_106_000015_000011	主
HVH_106_000015_000012	大成堂被
HVH_106_000015_000013	杖權多出营求则非古者敷言试功之典任用或間
HVH_106_000015_000014	於愉壬進退寻移於權倖則非右人用贤勿貳之心一
HVH_106_000015_000015	悦於飭行美辞則辨給者拔用更先於持重一急於
HVH_106_000015_000016	近功细效則轻銳者爸荣友膝於老成
HVH_106_000015_000017	全送
HVH_106_000015_000018	三载一行除任通年補注受資階送有其法
HVH_106_000015_000019	然典衡之法者于求未塞于苞茸而规利营私何其
HVH_106_000015_000020	有權衡之秤量注徒均於資格而限年级不
HVH_106_000015_000021	享
HVH_106_000016_000001	粤流品之混酒
HVH_106_000016_000002	法祖
HVH_106_000016_000003	谓成憲所当法也則须景治之教以善民俗準洪之
HVH_106_000016_000004	文体以章浮萃先朝之典亦界施行矣然可者兵分
HVH_106_000016_000005	户手二已有定额矣而更重之以和田公田之税豈先
HVH_106_000016_000006	制赋之成规租鈔庸四镇已有常例矣而更加之以
HVH_106_000016_000007	兵米兵之封烦壹先王掠兵之遗衣
HVH_106_000016_000008	細諫
HVH_106_000016_000009	歷代改
HVH_106_000016_000010	湾祖和谤店理
HVH_106_000016_000011	謂諫者社稷之福則置於府門以受臣民之章
HVH_106_000016_000012	鐘左店以通竟腔之詞章求言可謂急矣然悦
HVH_106_000016_000013	繹未見行忠告之言問了便休何曾未嘉言之益
HVH_106_000016_000014	去諒
HVH_106_000016_000015	謂謬者有害於治則浸潤之一切不容離間之言盡
HVH_106_000016_000016	排作未嘗不達谬也然霄受或移放簧舌而姜皓之
HVH_106_000016_000017	曲說未必饭唐帝之達聞威断未奮於乾刚而伊霍
