HVH_107_18_000014_000016	别杖徒滑罪仍茶本寺觀巷院門首各
HVH_107_18_000014_000017	加號兩個月
HVH_107_18_000015_000001	艮贱相姦
HVH_107_18_000015_000002	無夫俱同
HVH_107_18_000015_000003	男女相有拜面賤有尊早
HVH_107_18_000015_000004	人男汝各都几人一
HVH_107_18_000015_000005	灵调之相
HVH_107_18_000015_000006	者亦男女同藏既以牌之面
HVH_107_18_000015_000007	越律例卷十八年
HVH_107_18_000015_000008	西
HVH_107_18_000015_000009	灵柑
HVH_107_18_000015_000010	春夫残学则牌自唐同
HVH_107_18_000015_000011	或用双
HVH_107_18_000015_000012	皆以
HVH_107_18_000015_000013	氏
HVH_107_18_000015_000014	比
HVH_107_18_000015_000015	為都面
HVH_107_18_000015_000016	同坐其
HVH_107_18_000016_000001	官史宿娼
HVH_107_18_000016_000002	相不必喜
HVH_107_18_000016_000003	其世金
HVH_107_18_000016_000004	官吏宿者杖六十
HVH_107_18_000016_000005	换救饮
HVH_107_18_000016_000006	齐坐此律
HVH_107_18_000016_000007	媒合
HVH_107_18_000016_000008	心娱其蝶
HVH_107_18_000016_000009	無和即户
HVH_107_18_000016_000010	人减一等若官员于孫
HVH_107_18_000016_000011	宿者
HVH_107_18_000016_000012	顺
HVH_107_18_000016_000013	宁本柔不愉
HVH_107_18_000016_000014	用庭汉守
HVH_107_18_000016_000015	罪亦知之
HVH_107_18_000016_000016	不犯大柴被
HVH_107_18_000016_000017	者籍婦女也文武官吏宿消者
HVH_107_18_000016_000018	民账律無戒等之
HVH_107_18_000016_000019	维非轰北亦有行止故杖六十楼
HVH_107_18_000016_000020	文育网凡龄
HVH_107_18_000016_000021	合人藏一等五十若交武官
HVH_107_18_000016_000022	惠繁之子孙宿者者罪如之
HVH_107_18_000016_000023	條刻
HVH_107_18_000016_000024	一临生生员救溪嗜酒换制師長不守监
HVH_107_18_000016_000025	规学规及技赌博出入官府起减司
HVH_107_18_000016_000026	認說事過錢包揽物料等項者問發爲
HVH_107_18_000016_000027	民各给以應得之罪得者計臟從重
HVH_107_18_000016_000028	星越律例卷十
HVH_107_18_000016_000029	刑律
HVH_107_18_000016_000030	主
HVH_107_18_000016_000031	官史宿苑
HVH_107_18_000016_000032	論
HVH_107_18_000017_000001	雑犯
HVH_107_18_000017_000002	折毁申明亭
HVH_107_18_000017_000003	修立
HVH_107_18_000017_000004	州縣各里谐设申明亭民有不孝不
HVH_107_18_000017_000005	第犯查犯姦唐为恶之人姓名事
HVH_107_18_000017_000006	一百流三千里而遣之逃去卷
HVH_107_18_000017_000007	條创
HVH_107_18_000017_000008	凡欽奉教民
HVH_107_18_000017_000009	前該营督率易员繕写刊刻木榜敬谨
HVH_107_18_000017_000010	皇越律侧
HVH_107_18_000017_000011	卷十九刑律
HVH_107_18_000017_000012	去
HVH_107_18_000017_000013	折蚊申亭
HVH_107_18_000017_000014	於申明亭示諭
HVH_107_18_000018_000001	夫匠軍士病給醫藥
HVH_107_18_000018_000002	7130
HVH_107_18_000018_000003	7
HVH_107_18_000018_000004	R
HVH_107_18_000018_000005	請給醫救療者答四十因而致死者
HVH_107_18_000018_000006	所而有疾病當該
HVH_107_18_000018_000007	澳守
HVH_107_18_000018_000008	监督
HVH_107_18_000018_000009	杖八十若已行移所司而不差擦豆醫
HVH_107_18_000018_000010	及不給對疣藥饵醫治者罪同
HVH_107_18_000018_000011	軍尺疾苦官可所當形恤免軍士在
HVH_107_18_000018_000012	镇则满王事而有于樂之劳夫医在
HVH_107_18_000018_000013	工制為公事而有力苦道患疾
HVH_107_18_000018_000014	病當官司不發所司请裕醫藥教
HVH_107_18_000018_000015	技入十者已行移所司請給集面
HVH_107_18_000018_000016	所可不差長臂及不给對症藥
HVH_107_18_000018_000017	因而致死杖几十有醫樂奥無賢
HVH_107_18_000018_000018	藥者等也加人藥不症致死自
HVH_107_18_000018_000019	皇越侧
HVH_107_18_000018_000020	卷十八刘律
HVH_107_18_000018_000021	十七
HVH_107_18_000018_000022	中区軍士病警
HVH_107_18_000018_000023	依庸
HVH_107_18_000018_000024	醫律
HVH_107_18_000019_000001	脂博
HVH_107_18_000019_000002	凡賭博财物者皆杖八十所之财
HVH_107_18_000019_000003	賭飲食者勿論
HVH_107_18_000019_000004	博都古六将之傳謂以游之具角
HVH_107_18_000019_000005	勝負而賭射物个部散之颜是
HVH_107_18_000019_000006	也智於脂博必至废本案耗敬家
HVH_107_18_000019_000007	坊入官止見在覺之人發有州
HVH_107_18_000019_000008	恐有指攀陷之弊也職官身自
HVH_107_18_000019_000009	皇越律侧卷十八刑单
HVH_107_18_000019_000010	大
HVH_107_18_000019_000011	常博
HVH_107_18_000019_000012	飲食篇戏者非
HVH_107_18_000019_000013	赠博庆自勿输
HVH_107_18_000020_000001	陶倒火者
HVH_107_18_000020_000002	凡官民之家不得乞養他人之子閹割火
HVH_107_18_000020_000003	制即古之宫刑王家得役使
HVH_107_18_000020_000004	割之人若官民之家乞他人之子
HVH_107_18_000020_000005	開割火者令以供役财借越甚矣故
HVH_107_18_000020_000006	一白流三千里其子拾靓国聚
HVH_107_18_000020_000007	條创
HVH_107_18_000020_000008	一凡私自净身人犯备明委係贫難度日
HVH_107_18_000020_000009	别無他故者照倒令其自投内務府
HVH_107_18_000020_000010	看派撰當差如有因傷玫死者將代倩
HVH_107_18_000020_000011	下手之犯照失殺人律科断若保畏
HVH_107_18_000020_000012	皇越律创
HVH_107_18_000020_000013	卷十八州
HVH_107_18_000020_000014	无
HVH_107_18_000020_000015	開测火者
HVH_107_18_000020_000016	罪情急起意割希圖漏免者除是犯
HVH_107_18_000020_000017	死罪及创應外遣無可再加外餘俱按
HVH_107_18_000020_000018	其原犯科條各加一等定提其受雇代
HVH_107_18_000020_000019	倩下手割之人與犯人同罪因而致
HVH_107_18_000020_000020	死者减殺罪一等
HVH_107_18_000021_000001	託公事
HVH_107_18_000021_000002	法本点也而数
HVH_107_18_000021_000003	求其曲故
HVH_107_18_000021_000004	凡官更諸色人
HVH_107_18_000021_000005	或人
HVH_107_18_000021_000006	或已
HVH_107_18_000021_000007	曲法託公事
HVH_107_18_000021_000008	求曲法何用私言
HVH_107_18_000021_000009	記者私言也若不
HVH_107_18_000021_000010	者管五十但即坐
HVH_107_18_000021_000011	不從當該官吏
HVH_107_18_000021_000012	不從
HVH_107_18_000021_000013	之不当成以朋友之
HVH_107_18_000021_000014	因官爽见之不
HVH_107_18_000021_000015	聽從
HVH_107_18_000021_000016	面曲
HVH_107_18_000021_000017	法
HVH_107_18_000021_000018	中国正或以
HVH_107_18_000021_000019	成之枉筋之闌白
HVH_107_18_000021_000020	事已施行杖一百所枉之罪重
HVH_107_18_000021_000021	日非分實是公言不
HVH_107_18_000021_000022	得谓之矣於
HVH_107_18_000021_000023	於杖
HVH_107_18_000021_000024	百
HVH_107_18_000021_000025	者官吏以故出人人罪論者爲他
HVH_107_18_000021_000026	上加曲法二字则
HVH_107_18_000021_000027	不曲法者勿翰万知
HVH_107_18_000021_000028	人及親蜀託
HVH_107_18_000021_000029	重答五十
HVH_107_18_000021_000030	矣
HVH_107_18_000021_000031	吏罪三等自託已事者加
HVH_107_18_000021_000032	一等。若監势要曲為人託者杖
HVH_107_18_000021_000033	一百所在重
HVH_107_18_000021_000034	百
HVH_107_18_000021_000035	有奥官吏同
HVH_107_18_000021_000036	至死者藏一等0若
HVH_107_18_000021_000037	法曲
HVH_107_18_000021_000038	受者鱼計
HVH_107_18_000021_000039	呈越律侧
HVH_107_18_000021_000040	卷十八烈律
HVH_107_18_000021_000041	示
HVH_107_18_000021_000042	思公事
HVH_107_18_000021_000043	追算
HVH_107_18_000021_000044	及當該官吏鱼监势
HVH_107_18_000021_000045	要言之若不曲法而爱赋者以不在
HVH_107_18_000021_000046	法贼論不曲法又不受臟则俱不坐
HVH_107_18_000021_000047	若官史不避监要將託公事
HVH_107_18_000021_000048	實跡赴上同首告者陛一等
HVH_107_18_000021_000049	之日齐胜
HVH_107_18_000021_000050	吏侯受官
HVH_107_18_000021_000051	等
HVH_107_18_000021_000052	凡官更諸色人等欲徇私情以属
HVH_107_18_000021_000053	法命游各商门嘱託公事者不分
HVH_107_18_000021_000054	人历已两项其為他人反属
HVH_107_18_000021_000055	事属托已行面所枉之罪重於
HVH_107_18_000021_000056	五之
HVH_107_18_000022_000001	非十
HVH_107_18_000022_000002	已事所枉實由官史也其爲自
HVH_107_18_000022_000003	既
HVH_107_18_000022_000004	已
HVH_107_18_000022_000005	五之
HVH_107_18_000022_000006	罪在所富得加等惡其属无也
HVH_107_18_000022_000007	十者於所犯本罪上加一等科
HVH_107_18_000022_000008	0之
HVH_107_18_000022_000009	加可威险人之辑
HVH_107_18_000022_000010	重以育益等中品
HVH_107_18_000022_000011	也核下监之豪
HVH_107_18_000022_000012	磊际内
HVH_107_18_000022_000013	官豪之又抑南
HVH_107_18_000022_000014	长强描提在在
HVH_107_18_000022_000015	故之可出官
HVH_107_18_000022_000016	叉势以另色爽
HVH_107_18_000022_000017	所已
HVH_107_18_000022_000018	典
HVH_107_18_000022_000019	典当該官吏同坐故入之罪至死
HVH_107_18_000022_000020	監臨势要得城一等教一百诡三
HVH_107_18_000022_000021	枉之罪重於杖一
HVH_107_18_000022_000022	不
HVH_107_18_000022_000023	餐
HVH_107_18_000022_000024	典之千者
HVH_107_18_000022_000025	里腾於監势要面施行
HVH_107_18_000022_000026	啄
HVH_107_18_000022_000027	一百及所枉出入
HVH_107_18_000022_000028	重其有守而不畏强禦也官则於本
HVH_107_18_000022_000029	皇越律创
HVH_107_18_000022_000030	二卷十九两
HVH_107_18_000022_000031	主
HVH_107_18_000022_000032	萬公事
HVH_107_18_000022_000033	亦险一
HVH_107_18_000022_000034	等叙用
HVH_107_18_000022_000035	如有告人罪而又则有函
HVH_107_18_000022_000036	肯之罪凡此俱當從重科断者也
HVH_107_18_000022_000037	條侧
HVH_107_18_000022_000038	一民人附合結黨妄预官府之事者杖一
HVH_107_18_000022_000039	百如有降調照革之员賄蜀百牲保留
HVH_107_18_000022_000040	者寔将與受官民俱照枉法治罪
HVH_107_18_000023_000001	私和公事
HVH_107_18_000023_000002	在官
HVH_107_18_000023_000003	事情重减犯人罪二等罪
HVH_107_18_000023_000004	和公事者照犯人愿得之罪藏二等
HVH_107_18_000023_000005	徙流死罪者私和之
HVH_107_18_000023_000006	人罪止管五十卷
HVH_107_18_000023_000007	越
HVH_107_18_000023_000008	卷人用律
HVH_107_18_000023_000009	主
HVH_107_18_000023_000010	敬和公事
HVH_107_18_000024_000001	失火
HVH_107_18_000024_000002	凡失火烧自七房屋者四十延烧官民
HVH_107_18_000024_000003	不分
HVH_107_18_000024_000004	凡杖一百
HVH_107_18_000024_000005	坐致罪其
HVH_107_18_000024_000006	但傷人者不
HVH_107_18_000024_000007	所
HVH_107_18_000024_000008	之人若延烧宗廟及宫嗣者
HVH_107_18_000024_000009	诚一等
HVH_107_18_000024_000010	外若於山陵光域内
HVH_107_18_000024_000011	延境言
HVH_107_18_000024_000012	失火者
HVH_107_18_000024_000013	雖不
HVH_107_18_000024_000014	内
HVH_107_18_000024_000015	林木者杖一百流二千里若官
HVH_107_18_000024_000016	内
