HVH_102_000005_000014	預斯會有甘為吴賊臣仆者天誅之絕其後嗣有阿附吳國賊而陷
HVH_102_000005_000015	害良善之安南人者天誅之絕其後嗣我革自今以始永遠為最親
HVH_102_000005_000016	最密之兄弟一多一心期减吴贼至死不变有此盟天神誅之絕其
HVH_102_000005_000017	後嗣宗皆大声呼日諾背覆誦辞席间年最長者曰翁擴乐日
HVH_102_000005_000018	盟定請造名坚曰勿仇命党宜写之若以書洩
HVH_102_000006_000001	7
HVH_102_000006_000002	恐不利於同志且吾備姓名视五國马存没越南国在尚何名之簽吾
HVH_102_000006_000003	備称呼各心記之是不可磨滅之冊安用筆墨皆曰甚是各授以手
HVH_102_000006_000004	指其腹互呼名則互應曰諾共四十九人各復坐熾請於象曰吾備肯
HVH_102_000006_000005	為有團人尚待異日今日権以此山寨为時自由國今日所在即為國
HVH_102_000006_000006	法日諾坚曰我兄弟自今以始一体平等但論功過無貴無贱象日諾
HVH_102_000006_000007	坚日我兄弟各人所员之任由票公委有溺或表任者票兄弟得
HVH_102_000006_000008	而誅之象日諾熾時意氣殊愉快懷臂謂索曰吾惰今夕會乃無一蓋燈
HVH_102_000006_000009	幸天上月先尚歸附吾吾倚向来固有之利権為吴贼所不能利奪
HVH_102_000006_000010	者有此乎勉哉吾兄弟今以後益益力必向吴贼之掌中收回吾人之
HVH_102_000006_000011	利権如此圆满之目光票皆大呼日弩力弩力飲半酣月渐西指遥送
HVH_102_000006_000012	闻樵筋牧笛之逐秋風而来熾请於日吾革所商事尚多今
HVH_102_000006_000013	夕未能竞焦收至关请明晚會於此日諾遂握手為别背日明晚
HVH_102_000006_000014	第四節
HVH_102_000006_000015	英雄露膳
HVH_102_000006_000016	既聊倦鳥巢斜枝拂径天際大燈光復照耀寨前之席地頃
HVH_102_000006_000017	則各會友陸續而至追夜将半照者會员惟奮尚未在之
HVH_102_000006_000018	久有一點餘鐘寨外索夕有声座前突现二人影前一少年
HVH_102_000007_000001	一十八九歲許之美女子跟而入象然視之奮摘怒曰諸兄
HVH_102_000007_000002	弟寺汝渴汝乃校一桑中之喜以来郎汝知吾曾今多此會何等重大
HVH_102_000007_000003	事奮未及答堅之曰諸公且安彼不肯拜跪於吴人鞋下以蒙八獄
HVH_102_000007_000004	之苦者當不以色败乃公事且請问此女即為何人背怒甚笑者罵
HVH_102_000007_000005	老柳榆者沸腾於座驾動林鸟飛声啼声雅人声喧不可辨惟堅熾
HVH_102_000007_000006	獨否引女即請坐坚謂女即曰居勿怪兄弟寺唐突吾革今夕為極
HVH_102_000007_000007	重大之談席不容一生客闻说乃女客難然兄真铁漢者奮兄所
HVH_102_000007_000008	信吾兄弟将信之今请客言女即之歷史其来意以释群疑兄至
HVH_102_000007_000009	所頭国也女即愤然作色曰予念此一世無可嶼群者诸皆英雄
HVH_102_000007_000010	予謂力必不弱故冒然来今若此予請死此地彼又者皆吴狗奴
HVH_102_000007_000011	隸耳吾復谁與生遂以頭触石熾急起救之頂巔已了出血矢幸尚
HVH_102_000007_000012	無恙時家皆回嗔息怒座中至有穆女即更寂然点一去皆促
HVH_102_000007_000013	言日吾言之公等未必信渠心事令渠自道之以弟所见英雄二字
HVH_102_000007_000014	恐非男子所车有诸公勿以如豆之服看人耳坚熾同起向女即道谢
HVH_102_000007_000015	請答辞女即曰予初見奮兄此時之兄亦今日之公等輕諾必信
HVH_102_000007_000016	多易必多难公等所圖事不輕許人知予亦甚佩公等顧予之史
HVH_102_000008_000001	其心事但予一人自知即言之亦於何信仍请質之兄於是争詰
HVH_102_000008_000002	奮曰予今引此女即来自谓吾兄弟中多一健將初予出獄之效日
HVH_102_000008_000003	坚熾二兄寄予於莫田村户予時為通人不敢多出往往闭戶独居
HVH_102_000008_000004	一日有女弓叩予门予视其人胖炯眉尖面上勃露英氣然細察之淚
HVH_102_000008_000005	容乃可掬惟淡愁苦之中仍不掩其活潑之熊予暗奇之不以
HVH_102_000008_000006	仇丐待招之入引几延坐女挺然坐無瑟熊予时神思窘甚予官
HVH_102_000008_000007	不諱諸公予生平中所惟莫雄與美人耳今见如玉如花之貌
HVH_102_000008_000008	而含如霜如日之神烏能使予不悚惕予往问女即汝将何所来集曰
HVH_102_000008_000009	予所求者殊奢一時恐谁告君予日金线耶回否果朱耶口否衣服耶日
HVH_102_000008_000010	否予笑曰汝以丐来予所问背所需者汝背曰否予何以汝女
HVH_102_000008_000011	坐久如木人予惟注目以俟朱唇之啟顾女容漂不可近予心益急然
HVH_102_000008_000012	不敢復问又久之女实然日予告君予所求者乃君家中所無者予
HVH_102_000008_000013	日何物日吴承宣使之頭耳予驚甚怪哉怪哉此等声口何為出彼
HVH_102_000008_000014	女流哉宇宙间怪物何所不有予計惟有從事於研究低声日汝言
HVH_102_000008_000015	嚇殺我此室幸無人恒有耳者吾共若皆族誅美女曰予祝死如戲故
HVH_102_000008_000016	為是言后何柰何以死惧我予時不能答思此中必有極可口之美味姑
HVH_102_000009_000001	70
HVH_102_000009_000002	俟細爵乃掃一别請女態且晚餐享之徐請女日汝何由知子且知
HVH_102_000009_000003	予為何如人女日儂何能君吴賊所懸於市门之鞋介紹君予
HVH_102_000009_000004	予為メ安城酒店主翁三之女承宣使屡於予豪见予艷予使
HVH_102_000009_000005	予父献共彼為侍婢彼謂吴人子力加於南人何物不可如意彼之刀
HVH_102_000009_000006	典槍無上之神聖耳雖然谈何容易予父固商人乃極晓族大美以
HVH_102_000009_000007	最良善民之女豈肯為吴賊作婢妻承宣使既屡求之予父終
HVH_102_000009_000008	不肯遂以漏酒罪誣予父捕之入徹謂必献女者赦则殺予急於救
HVH_102_000009_000009	父將許之父知予心遂於獄以絕予念呜呼予父欲其女為自由民
HVH_102_000009_000010	不惜以其身殉苦哉予父予自是生趣大絶急欲自尽念父仇未报
HVH_102_000009_000011	死亦徒朽予必以一刀吴予死乃瞑顧又一弱女何能以武装衬
HVH_102_000009_000012	彼日夜思索未知所為謀而彼吴賊野心乃未嘗使人迫我曰必勝
HVH_102_000009_000013	彼予溢亲家毁装為行同送城四隧藉索一同仇者予仇或可
HVH_102_000009_000014	雪寥又满城飛鹰走狗外更無一人风塵碌又予亦何從色相去年拜
HVH_102_000009_000015	鞋令下予富喜有線路美嗟平吴人辱我南人至此已甚我南人之
HVH_102_000009_000016	贱至此亦已甚主人牛马之地位尚復何言使安南而無男子平此独
HVH_102_000009_000017	立之山河逝矣不復返矣脱有之不於此時露頭角竟尚何待居無何則
HVH_102_000010_000001	1
HVH_102_000010_000002	闻有傲鞋之罪人三君其一予然此乃專為后等之偵探人日夜天
HVH_102_000010_000003	金獄神有灵必埋我自由種君等既入獄予示塗首泥身穿結衣
