HVH_107_15_000012_000001	一凡宗室之親在家安分或有不法之徒
HVH_107_15_000012_000002	借端尋者照律治罪外若甘自菲
HVH_107_15_000012_000003	薄在街市典人如宗室之親罪止
HVH_107_15_000012_000004	折罰錢量其相殿者亦係現食錢之
HVH_107_15_000012_000005	人一體折罰定擬毋加等若無錢
HVH_107_15_000012_000006	可罰照凡闘辨理
HVH_107_15_000012_000007	一凡宗室之親典人争殿之案除番明宗
HVH_107_15_000012_000008	室鱼未與人爭較而常人尋擅者
HVH_107_15_000012_000009	仍照例治罪外如輕入茶坊酒肆滋事
HVH_107_15_000012_000010	召侮或與人闘殿先行動手人者其
HVH_107_15_000012_000011	相之人聞照寻常闘段一體定操其
HVH_107_15_000012_000012	皇越律侧
HVH_107_15_000012_000013	宗宝親教家
HVH_107_15_000012_000014	宗室應得罪名刑部按例定擬犯該
HVH_107_15_000012_000015	徒罪者照例鎖禁拘禁犯該答杖應否
HVH_107_15_000012_000016	折罚錢之處变宗人府酌量犯案情
HVH_107_15_000012_000017	節如情罪可恶者在宗人府實行責打
HVH_107_15_000012_000018	不准折罚
HVH_107_15_000013_000001	殿制使及本管長官
HVH_107_15_000013_000002	凡臣
HVH_107_15_000013_000003	朝
HVH_107_15_000013_000004	奉制命出使而官吏之及部民
HVH_107_15_000013_000005	所
HVH_107_15_000013_000006	歐本屬知府知州知縣軍士殿本管官
HVH_107_15_000013_000007	若更卒殿本部五品以上長官杖一百
HVH_107_15_000013_000008	徒三年傷者杖一百流二千里折傷者
HVH_107_15_000013_000009	吏
HVH_107_15_000013_000010	市
HVH_107_15_000013_000011	段佐贰官首领官又各遮等官
HVH_107_15_000013_000012	官减
HVH_107_15_000013_000013	長官一等首候减佐贰一等知軍民吏
HVH_107_15_000013_000014	卒減三等各罪輕淤几開及共凡相
HVH_107_15_000013_000015	篤疾者彼死者
HVH_107_15_000013_000016	明
HVH_107_15_000013_000017	律例卷五
HVH_107_15_000013_000018	制律蜀像上士
HVH_107_15_000013_000019	展倒使及本长官
HVH_107_15_000013_000020	若流外赚
HVH_107_15_000013_000021	官及軍民吏卒非本管三
HVH_107_15_000013_000022	品以上官者杖八十徒二年傷者杖一
HVH_107_15_000013_000023	百徒三年折傷者杖一百流二千里
HVH_107_15_000013_000024	管
HVH_107_15_000013_000025	老凡
HVH_107_15_000013_000026	合
HVH_107_15_000013_000027	官者各加凡傷二等
HVH_107_15_000013_000028	不言折傷笃疾
HVH_107_15_000013_000029	至死者音以凡
HVH_107_15_000013_000030	所
HVH_107_15_000013_000031	長官本條城吏车二等若让同
HVH_107_15_000013_000032	官小則依下條上可官共統属官相
HVH_107_15_000013_000033	科之首領段衙門長官国依殿長官本
HVH_107_15_000013_000034	條城吏卒二等若图本衙門佐贰官所
HVH_107_15_000013_000035	人品款共下九品以上同测下
HVH_107_15_000014_000001	條科之若品教不典下條同则止侯凡
HVH_107_15_000014_000002	開如佐贰首须自相殿亦月凡用論罪
HVH_107_15_000014_000003	在外外地方之官使于奉制命之使臣
HVH_107_15_000014_000004	所属都民于本属知府知州知聚所
HVH_107_15_000014_000005	管单士于本管之武職所部之使卒
HVH_107_15_000014_000006	于本部五品以上长官凡此四项為
HVH_107_15_000014_000007	一等但即坐杖一百徒三年但成
HVH_107_15_000014_000008	傷耶坐杖一百流二千里折傷者教
HVH_107_15_000014_000009	以其奉王命而来也部民于体府
HVH_107_15_000014_000010	州縣官平土于本管武職官均有管
HVH_107_15_000014_000011	韩之溃敬皆不論職之崇面使
HVH_107_15_000014_000012	于本部長官则五品以上始其同科
HVH_107_15_000014_000013	者使卒殿本都六品以下长馆减五
HVH_107_15_000014_000014	一年牛测枚十徒二年浙则
HVH_107_15_000014_000015	杖九十徒二年牛蓋卒于本部之
HVH_107_15_000014_000016	馆不遇有一时事使之分奥本属之
HVH_107_15_000014_000017	民本管之不同故以職之崇甲定
HVH_107_15_000014_000018	又各通域一等知部民级本属府州
