HVH_107_13_000012_000042	在锁大椒创重于
HVH_107_13_000012_000043	者悉儿律罪同
HVH_107_13_000012_000044	婢者杖一百徒三年爲妻妾子孫者杖
HVH_107_13_000012_000045	也日不得引
HVH_107_13_000012_000046	亦如之者例不得面
HVH_107_13_000012_000047	九十徒二年半被之人减一等
HVH_107_13_000012_000048	正给
HVH_107_13_000012_000049	仍
HVH_107_13_000012_000050	皇越律例卷十三月律盗下十
HVH_107_13_000012_000051	暑人暮人
HVH_107_13_000012_000052	注必其人先典
HVH_107_13_000012_000053	未賣者各减一等十歲以下和
HVH_107_13_000012_000054	阿度被故日和
HVH_107_13_000012_000055	同相誘若其人本無
HVH_107_13_000012_000056	亦同界誘法
HVH_107_13_000012_000057	者不坐
HVH_107_13_000012_000058	被秀
HVH_107_13_000012_000059	着器賣和誘他
HVH_107_13_000012_000060	他先爲秀收典
HVH_107_13_000012_000061	和同所是呆类
HVH_107_13_000012_000062	人奴婢者各戒賣和誘良人罪一等
HVH_107_13_000012_000063	于于者子森乃已
HVH_107_13_000012_000064	已之重
HVH_107_13_000012_000065	若界賣子孫爲奴婢者杖八十第妹
HVH_107_13_000012_000066	之所肖面安賤
HVH_107_13_000012_000067	徐他姓之人也
HVH_107_13_000012_000068	及矩姪孫外孫若已之妾子孫之婦者
HVH_107_13_000012_000069	形迎别如先典言明
HVH_107_13_000012_000070	菜诱典和誘馆
HVH_107_13_000012_000071	杖八十徙二年子孫之妾戒二等同
HVH_107_13_000012_000072	事内情恶则被诱之
HVH_107_13_000012_000073	人亦有所贪其罪
HVH_107_13_000012_000074	堂第妹堂姪及姪孫者杖九十徒二年
HVH_107_13_000012_000075	翟若其人先本不
HVH_107_13_000012_000076	知被笑骗事不
HVH_107_13_000012_000077	得已始行曲期方
HVH_107_13_000012_000078	行不得雨之
HVH_107_13_000012_000079	牛和賣者減一等未賣者又裁
HVH_107_13_000012_000080	等被賣单幼
HVH_107_13_000012_000081	聽從家長不坐給親聚
HVH_107_13_000012_000082	维和月以
HVH_107_13_000012_000083	金纂第五角已妾一
HVH_107_13_000012_000084	和誘
HVH_107_13_000012_000085	其
HVH_107_13_000012_000086	客
HVH_107_13_000012_000087	和
HVH_107_13_000012_000088	賣妻爲婢及賣大功以
HVH_107_13_000012_000089	一页從人和
HVH_107_13_000012_000090	项给親图聚第六第
HVH_107_13_000012_000091	爲奴婢者各從凡人和界法若
HVH_107_13_000012_000092	爱菜
HVH_107_13_000013_000001	法亦始视聚
HVH_107_13_000013_000002	為夫所费不
HVH_107_13_000013_000003	主及買者知情典犯人同罪
HVH_107_13_000013_000004	之
HVH_107_13_000013_000005	便行回本
HVH_107_13_000013_000006	米北親字似来本
HVH_107_13_000013_000007	至死藏
HVH_107_13_000013_000008	一等
HVH_107_13_000013_000009	牙保各藏一等追價入官
HVH_107_13_000013_000010	在两或無木宋可
HVH_107_13_000013_000011	者再脂肝酌游
HVH_107_13_000013_000012	不知者俱不坐追價回主
HVH_107_13_000013_000013	方青谦也引也面隶有哄漏之
HVH_107_13_000013_000014	意署界典上方譽之不同字
HVH_107_13_000013_000015	请不以道取日器又刘携客则兼
HVH_107_13_000013_000016	有威制意誘取界俱蒙凝方界
HVH_107_13_000013_000017	言為奴爲妻妾于徐穆承誘取
HVH_107_13_000013_000018	取爲已之奴辉及賣爲人之奴
HVH_107_13_000013_000019	離散类骨肉賤厚其身休其情重其
