HVH_094_000023_000007	總督巡撫衙為藩司有通判一員及八品九品書吏未八流
HVH_094_000023_000008	書吏以分理公事
HVH_094_000023_000009	按察衙為臬司有暦及八九品書吏
HVH_094_000023_000010	斈衙有礼生丞掌祭祀及課核事
HVH_094_000023_000011	府縣
HVH_094_000023_000012	省分為府府分為縣府有知府該治教授主斈務及商辨
HVH_094_000023_000013	以附行政事縣有知縣該治教斈則有訓導亦有邦辨
HVH_094_000023_000014	以助行公事分府則有同知府縣雖属
HVH_094_000023_000015	府然每轄
HVH_094_000024_000001	皆有該治之權不權相統属府縣衛门吝有題吏
HVH_094_000024_000002	及通吏二三人從事
HVH_094_000024_000003	奇兵
HVH_094_000024_000004	省府縣皆有竒兵以巡防轄內有該隊管以該之其
HVH_094_000024_000005	糧食衣服噐械則由國家所給
HVH_094_000024_000006	隸兵
HVH_094_000024_000007	堂官及各府縣皆有隸兵以供役使有目該爱惟無
HVH_094_000024_000008	噐械止事奉侍及公事而已
HVH_094_000024_000009	正總副總
HVH_094_000024_000010	凡府縣之有公事於各社者責據正縂
HVH_094_000024_000011	正總
HVH_094_000024_000012	乃由縂中耆目公舉或擇取副總與各社里長鄉長及經
HVH_094_000024_000013	與國家從事十年者其與保舉之人如各社里長先次祉
HVH_094_000025_000001	舊正副縂及滿課之管隊於保舉辰則有公使座所
HVH_094_000025_000002	派西官及府縣官現在視寔已舉之後其人領試差該
HVH_094_000025_000003	總憑三年始得寔授及蒙賞從九品百户每三年升一株
HVH_094_000025_000004	以至正七品然自正八品至正七品則又四年一升
HVH_094_000025_000005	副總各社之里長及舊里長其預保之人亦由保舉正縂
HVH_094_000025_000006	云從事六年得賞従九品以後六年一亦至正七品何係從
HVH_094_000025_000007	事至九年而總內正縂有闕則得充之不必保舉
HVH_094_000025_000008	社
HVH_094_000025_000009	社有耆目以幹辨鄉事公事如開丁田簿收税及築路
HVH_094_000025_000010	修橋開涇渠以取水諸公益事則耆目督民為之巡防
HVH_094_000025_000011	則耆目與正縂里長協同幹辨
HVH_094_000025_000012	紙
HVH_094_000025_000013	口衝次則次
HVH_094_000025_000014	社有先放為首亦隨其鄉俗或重科目或取品
HVH_094_000025_000015	社耆老
HVH_094_000026_000001	里長
HVH_094_000026_000002	社有里長以辨行公事有木篆及公使與堂官所給文
HVH_094_000026_000003	慧何係内籍民方得預保正副里長已經保舉之後亦隨
HVH_094_000026_000004	由上司審覆或更其優者里長從事九得賞授從九品
HVH_094_000026_000005	百户以後五年一升
HVH_094_000026_000006	有看守或分取以助里長收補各村之稅又有鄉長甲
HVH_094_000026_000007	長社長與里長從附行事及督辨民夫事有番巡以巡
HVH_094_000026_000008	防鄉内這是皆隨民村之大小自行保舉渄由該治官也
HVH_094_000026_000009	各項税
HVH_094_000026_000010	國家分稅為二項正額稅及外額稅正額有編簿
HVH_094_000026_000011	炤人而收外額則收商賣之貨物惟食用者受之
HVH_094_000026_000012	耳正額税納八各處支消簿以供本處公需之費外
HVH_094_000027_000001	額税則納在東洋支消公簿
HVH_094_000027_000002	外額税
HVH_094_000027_000003	外額税多納在商政座其税如出港八港貨物税酒税
HVH_094_000027_000004	鹽
HVH_094_000027_000005	鹽税鴉片税酒稅鴉片三者惟國家所賣南酒每坪銀
HVH_094_000027_000006	二毛五仙西酒每坪收西錢二貫半鴉片則買於雲南
HVH_094_000027_000007	印度製於柴棍鴉片廠然後盛八銅盒以賣鹽則國家
HVH_094_000027_000008	買於鹽坊或鹹田其賣者認守一簿每年賣得千國
HVH_094_000027_000009	家先定其税而買之然役分賣於民商政座又收火油税
HVH_094_000027_000010	柴税煙葉税南煙税又有外額税而不納在商政座者
HVH_094_000027_000011	如信紙稅市渡稅及呈閲文字銀是也
HVH_094_000027_000012	正額税
HVH_094_000027_000013	正額税則納在東洋各處支消簿隨處不同北圻之正
HVH_094_000028_000001	額税已經改定從一千八百九十七年
HVH_094_000028_000002	一九年
HVH_094_000028_000003	一成泰一
HVH_094_000028_000004	拾六月初二日之議
HVH_094_000028_000005	定也南人則有丁田土諸税
HVH_094_000028_000006	丁税
HVH_094_000028_000007	丁税每人自十八歲至六十歲內籍丁每人三元外籍丁每
HVH_094_000028_000008	人五毛有免差項得除丁税
HVH_094_000028_000009	有品衛之人每三年為限呈阅憑敕納銀拾五元凡與南
HVH_094_000028_000010	官從事如书吏通吏奇隸驛夫
HVH_094_000028_000011	公使座兵官座之通言記録
HVH_094_000028_000012	正副縂廕生僧寺及六十歲以上老人
HVH_094_000028_000013	在兵之赤洿習兵青洿習兵及水兵
HVH_094_000028_000014	有免徭項如官員父官員子正副里及課生者亦得除丁
HVH_094_000028_000015	税止領一免徭紙納銀四毛
HVH_094_000029_000001	田土税
HVH_094_000029_000002	項
HVH_094_000029_000003	田土税分為二項一為田税又分為三等第一等每銀一五毛
HVH_094_000029_000004	第二等一元一毛第三等八毛
HVH_094_000029_000005	二項為土税其種樹草木土及園池土宅荒土鹹土者分為四等
HVH_094_000029_000006	一等二元二等畝五毛三等每畝三毛四等一毛餘
HVH_094_000029_000007	若荒墳道路亭寺宇諸處則免税
HVH_094_000029_000008	興化太原宣光安沛蠻人舎人則無丁田土諸税土炤家居而
HVH_094_000029_000009	收隨其大小而分等第自一元五毫至三元
HVH_094_000029_000010	法人清人田土税
HVH_094_000029_000011	法人清人之有田土於各省者亦皆納税南人云
HVH_094_000029_000012	清人身税
HVH_094_000029_000013	十元七元五
HVH_094_000029_000014	清人之納身税每人每年隨其等項而納或八十八元三元一元五毛
HVH_094_000030_000001	門牌税牌
HVH_094_000030_000002	法人南人及外國人之商賣者皆有門牌税每年隨
HVH_094_000030_000003	五毛至三百元
HVH_094_000030_000004	其項而自
HVH_094_000030_000005	船税
HVH_094_000030_000006	隨其船之大小所載之輕重而為項每年或二十元七元五
HVH_094_000030_000007	元三元一元若小般载不满十西谢則领二牌銀二毛
HVH_094_000030_000008	市渡税
HVH_094_000030_000009	市渡税本為外额税然纳在本處支消簿其諸省市疫税每年
HVH_094_000030_000010	國家有微税例何人價高許徵领之
HVH_094_000030_000011	東洋疆域
HVH_094_000030_000012	東洋疆城地夹大清之雲南雨廣西夾甸及进羅南夾
HVH_094_000030_000013	羅湾東夾中國海及北圳湾西積一兆方归民效約
HVH_094_000030_000014	二十四兆
HVH_094_000031_000001	山
HVH_094_000031_000002	自北而南有蜒而来每支斜造各分為九龍江拜河及
HVH_094_000031_000003	中圻諸小河之瀑布其在北州之上游山勢多從雲南來
HVH_094_000031_000004	江河
HVH_094_000031_000005	九龍江東洋一大江也發源清之西藏經遇雲南哀牢高
HVH_094_000031_000006	入南坊界内分為前後二支江流八中國海珥河地坊之大
HVH_094_000031_000007	河也源於雲南行經北圳諸省流八北圳海湾其在中則
HVH_094_000031_000008	有馬江大江及治海之香浦二小江南圳则有九龍江嘉定江
