HVH_107_04_000020_000008	限满無故不花職役者一日一十每
HVH_107_04_000020_000009	三日加一等各罪止杖八十鱼留職役
HVH_107_04_000020_000010	南参公座内外大小官员日行联事
HVH_107_04_000020_000011	也除有差遣疾病死表等事故外若
HVH_107_04_000020_000012	無故在内不朝参在外不瓜座署事
HVH_107_04_000020_000013	及官吏拾假之限已無故不職
HVH_107_04_000020_000014	均有意情之答計日論一
HVH_107_04_000020_000015	日一十等至二十二日以上罪
HVH_107_04_000020_000016	止杖八十金留设各字鱼子
HVH_107_04_000020_000017	稳承在内在外假满三者言
HVH_107_04_000020_000018	皇律例二卷支律
HVH_107_04_000020_000019	无
HVH_107_04_000020_000020	無故不粥条公
HVH_107_04_000021_000001	擅勾属官
HVH_107_04_000021_000002	北上司催會公事立案定期限或遣牌
HVH_107_04_000021_000003	或差人行移所属街門督如有
HVH_107_04_000021_000004	错依律諭
