HVH_107_06_000021_000003	一錢
HVH_107_06_000021_000004	户入册
HVH_107_06_000021_000005	时一至五四十每五
HVH_107_06_000021_000006	隐之田
HVH_107_06_000021_000007	隐税糧依
HVH_107_06_000021_000008	魏豹其
HVH_107_06_000021_000009	数年
HVH_107_06_000021_000010	数徵納若
HVH_107_06_000021_000011	自
HVH_107_06_000021_000012	方图
HVH_107_06_000021_000013	换
HVH_107_06_000021_000014	移等則以高作下減購額及詭
HVH_107_06_000021_000015	田糧
HVH_107_06_000021_000016	分並應免人删
HVH_107_06_000021_000017	之差役并受寄者罪亦如之
HVH_107_06_000021_000018	报之類
HVH_107_06_000021_000019	如悬田
HVH_107_06_000021_000020	段址
HVH_107_06_000021_000021	牧师本
HVH_107_06_000021_000022	户起
HVH_107_06_000021_000023	科当差
HVH_107_06_000021_000024	皇越律侧卷大
HVH_107_06_000021_000025	律
HVH_107_06_000021_000026	干
HVH_107_06_000021_000027	数田程
HVH_107_06_000021_000028	里長知而不與犯人同罪0其回卿
HVH_107_06_000021_000029	後業人民丁力少而舊田多者聽從
HVH_107_06_000021_000030	力耕作報官入籍計田納糧當差若多
HVH_107_06_000021_000031	餘占田而荒蕪者三畝至十畝笞三十
HVH_107_06_000021_000032	每十亩加一等罪止杖几十其田人官
HVH_107_06_000021_000033	若丁力多而舊田少者告官於附选荒
HVH_107_06_000021_000034	田内验力付耕作
HVH_107_06_000021_000035	計思漏之多寡論一献至五献百
HVH_107_06_000021_000036	四十至三十五以上罪止杖一百
HVH_107_06_000021_000037	其入官所隐税提自之年起
HVH_107_06_000021_000038	算至發境之年止計若干年侯所
HVH_107_06_000022_000001	追社全
HVH_107_06_000022_000002	纳
HVH_107_06_000022_000003	夫有则必有粮有根则
HVH_107_06_000022_000004	四田起者不止一項故注日一應
HVH_107_06_000022_000005	慢也然追征隐者止
HVH_107_06_000022_000006	征糙不
HVH_107_06_000022_000007	极别项差设方圆一日姓中
HVH_107_06_000022_000008	分界曰段移换謂攻原定之冉非
HVH_107_06_000022_000009	数谐尚于田若田糙说寄于
HVH_107_06_000022_000010	免差段之人與當是差役之户则差
HVH_107_06_000022_000011	当差而不及额数者也说寄者
HVH_107_06_000022_000012	理而不當差者也故欺之田
HVH_107_06_000022_000013	皇越律例卷六
HVH_107_06_000022_000014	人官而減说寄难與同罪其田则
HVH_107_06_000022_000015	主
HVH_107_06_000022_000016	数田
HVH_107_06_000022_000017	不入官但為改正收科当差而已其
HVH_107_06_000022_000018	减脑過根影射通差役律不信息
HVH_107_06_000022_000019	征解者謂仍当盡法征入官
HVH_107_06_000022_000020	说寄等情也業者原本人
