HVH_103_000014_000008	年载守特勅成都御史彭泽總督甘軍務統延军固原法過
HVH_103_000014_000009	皇明四夷考
HVH_103_000014_000010	主
HVH_103_000014_000011	省夷使内侵逐勤海市刺动写世守哈责满速兒医回拜牙即
HVH_103_000014_000012	年春澤甘失地了木蘭金王子莊以布展器关動全通事
HVH_103_000014_000013	都督送土鲁克学刺時五甘州言永县春世不去土鲁者得赏鉴印
HVH_103_000014_000014	寫仙以满刺澤還掌事又言土语尚
HVH_103_000014_000015	下部尚書王琼富泽河不星冬寫尔入京寅赏土番四
HVH_103_000014_000016	出使阅及苦法城残破河西藩徽又結刺河年李昆代
HVH_103_000014_000017	请满速运還拜即满速兒不专他只丁牙木蘭漫哈速兒沙州
HVH_103_000014_000018	肠嘉開全肃州坪四巴思高彦名内攻州參將府
HVH_103_000015_000001	存礼双績商剧使陈九時愤无法间及通成都督拜烟答马城拒
HVH_103_000015_000002	退戏又名调属夷其老营遣人结揭巢穴破其三城土普番大剧又尽蒸
HVH_103_000015_000003	突
HVH_103_000015_000004	仙十年哈肝坐瓶特拜烟答来兒马黑麻入首京巧耀体爱
HVH_103_000015_000005	入长西左门冤下盒部三法司春行河西讯报十年遗九晴玉琼诗均
HVH_103_000015_000006	澤九時浙江副使澤九籍社土鲁番貢京部语狱輔梁
HVH_103_000015_000007	佛名乃部会讯写仙死会上会同尔康仙米兒马黑底因
HVH_103_000015_000008	见國随南嘉靖元写仙北赋中琼涌成泽起部尚
HVH_103_000015_000009	書嘉靖元年品部信即九時食都御火处甘甫年失拜答于米兒马黑木
HVH_103_000015_000010	皇明回夷考
HVH_103_000015_000011	尚
HVH_103_000015_000012	写正仙子来兒黑底皆满年满速兒大入甘州九时忠勇登力戦
HVH_103_000015_000013	阮解甘州同又同道低州内者大东他学退去中守
HVH_103_000015_000014	奏河西危遣部尚書献民都督杭雄师献氏至蘭州番已為九時
HVH_103_000015_000015	改出嘉闵献民用九时议请迁夷使团图绝貢军木蘭漫哈侵州才
HVH_103_000015_000016	木蘭又入沙州五年起坂辅匡清督軍務一清言永不制其合又服
HVH_103_000015_000017	徒绝彼贡使不阻彼犯边艺还九畸汉过烟瘴夷使解警息兵步战清召入
HVH_103_000015_000018	内图尚書王意清尽出平凉夷清土兽番悔遇服永哈年
HVH_103_000015_000019	试社桂方献大霍现生漫言哈家不靖车田彭泽泽诗团场廷和
HVH_103_000016_000001	曲泽也乞总用王琼以富都七年满速纪令牙木蘭挺沙州索留贡使否
HVH_103_000016_000002	且率柴哥攻肃州才木蘭不殺牙木蘭蘭章麥多率老推
HVH_103_000016_000003	人甫州白城金塔古住牧守汉肃州县春起部尚書都
HVH_103_000016_000004	憲琼玉河西反泽行事呈秋天方微马兒哈月贡满速兒尔气通貢
HVH_103_000016_000005	业
HVH_103_000016_000006	i
HVH_103_000016_000007	為本乞還夷未报土卷力納兒刺拳軍
HVH_103_000016_000008	局剧使克退去桂必满九畸死关廷和刑部尚書世力争九忠
HVH_103_000016_000009	勇冉全面西不投调成边彭献民闲佳年喜首狮夷人区教道有
HVH_103_000016_000010	又吉土鲁永哈乞令失拜烟谷米兒马黑朱守哈使二四人遗入京
HVH_103_000016_000011	皇图回夷考
HVH_103_000016_000012	五
HVH_103_000016_000013	雨青使男扫几千人师沙州木哥夷五千四人千白例山哈都吉刺
HVH_103_000016_000014	夷在南州東開斤都堂-建兄子顾南来在州址山金塔東都指揮枝丹在甘州
HVH_103_000016_000015	南崇部星部尚書守河谢哈中国上汉影
HVH_103_000016_000016	下部言太祖建化平行都司去境四里文皇异元良哈文皇即交趾
HVH_103_000016_000017	宣宗和安南大文趾比其初封忠顺王為象藩乃元遗永年封
HVH_103_000016_000018	年印立共兄子未即绝强地其孙嗣三三為乃叛戎及
HVH_103_000016_000019	中国家以為此國初封元和三顺王安东耳定王又车内
HVH_103_000016_000020	甘市今不知其有思顺王故耗家金带疲士马财力礼法不响竞
HVH_103_000017_000001	琼官方木人唐恒事可鉴遂面不遣星时琼满速
HVH_103_000017_000002	奉約貢哈為师術失世河
HVH_103_000017_000003	九唐整西海尾利河面皆羊满速遣力奶天方夷方
HVH_103_000017_000004	物原才木蘭言者约席力奶漫便州全力奶而道利又攻
HVH_103_000017_000005	17
HVH_103_000017_000006	永尔消体息雨来隆人哈割言番哈城都米纪马黑母理部因清
HVH_103_000017_000007	遇全三年或五年夷多十入塞哈童為土鲁河
HVH_103_000017_000008	及西事安哈守县固不為中国利害也泰中老土哈居
HVH_103_000017_000009	黑美未直则有景彼求方予所何恩况染捐首献不足侵宴不
HVH_103_000017_000010	皇明四考
HVH_103_000017_000011	未
HVH_103_000017_000012	时又皆重声略综核腾口而事不知中夷狄固不可遇纳
HVH_103_000017_000013	可深拒常唯顺烈赏斯恩唯通则拒收咸斯畏泛西域贾倚石易射
HVH_103_000017_000014	黄厚生为取里倘又何患写
HVH_103_000017_000015	赤斤蒙古
